design_id,call_deltas,call_spread_widths,dte,put_deltas,put_spread_widths,strategy_type,take_profit_pct
348,0.03,50,3,-0.075,50,short_iron_condor,0.875
349,0.01,50,3,-0.075,50,short_iron_condor,1.0
350,0.02,50,3,-0.075,50,short_iron_condor,1.0
351,0.03,50,3,-0.075,50,short_iron_condor,1.0
352,0.01,50,4,-0.075,50,short_iron_condor,0.75
353,0.02,50,4,-0.075,50,short_iron_condor,0.75
354,0.03,50,4,-0.075,50,short_iron_condor,0.75
355,0.01,50,4,-0.075,50,short_iron_condor,0.875
356,0.02,50,4,-0.075,50,short_iron_condor,0.875
357,0.03,50,4,-0.075,50,short_iron_condor,0.875
358,0.01,50,4,-0.075,50,short_iron_condor,1.0
359,0.02,50,4,-0.075,50,short_iron_condor,1.0
360,0.03,50,4,-0.075,50,short_iron_condor,1.0
